name,party_name,election_name,election_date,office,is_incumbent,special_election,created_at,updated_at,ocd_person_id,ocd_candidacy_id,ocd_election_id,ocd_post_id,ocd_contest_id,ocd_party_id,latest_calaccess_filer_id,calaccess_filer_id_count,latest_form501_filing_id,form501_filing_count
PAUL KREKORIAN,DEMOCRATIC,2008 GENERAL,2008-11-04,Assembly 43,t,f,2017-10-25 02:13:42.527683+00,2017-10-25 02:13:42.605347+00,ocd-person/90b5b0e2-561b-42a7-8cc2-5b17c67baf52,ocd-candidacy/6f7a0800-b91f-4d17-a9a9-d1c666c2e2ba,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/a1482a65-d29e-470c-b208-62f59d02fd4e,ocd-contest/171a734a-b39b-41ad-a95b-6e33ee4d15aa,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1005796,1,1251080,2
JANE BARNETT,REPUBLICAN,2008 GENERAL,2008-11-04,Assembly 43,f,f,2017-10-25 02:23:56.002483+00,2017-10-25 02:23:56.120961+00,ocd-person/f0bd2d49-a60d-4369-8ca1-64b189ef3924,ocd-candidacy/c1c446d1-3841-4171-9a97-0a506814a925,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/a1482a65-d29e-470c-b208-62f59d02fd4e,ocd-contest/171a734a-b39b-41ad-a95b-6e33ee4d15aa,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1304817,1,1317708,1
BRIAN M. FULLER,REPUBLICAN,2008 GENERAL,2008-11-04,Assembly 44,f,f,2017-10-25 02:23:57.879038+00,2017-10-25 02:23:58.003833+00,ocd-person/7422dc74-4314-48de-af91-e57006da198d,ocd-candidacy/90d46c48-e373-47e8-84fa-f6d3d81f11ef,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/5191f3e9-d94b-4f00-a73e-1c9ce31a7832,ocd-contest/fd6128cd-871f-4a91-96cf-027d790d5184,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1304546,1,1317101,1
ANTHONY PORTANTINO,DEMOCRATIC,2008 GENERAL,2008-11-04,Assembly 44,t,f,2017-10-25 02:13:44.717613+00,2017-10-25 02:13:44.799203+00,ocd-person/9477430b-fe6c-41d6-843c-9719a19c37b4,ocd-candidacy/72400d97-322e-4176-8095-8a9a630a5150,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/5191f3e9-d94b-4f00-a73e-1c9ce31a7832,ocd-contest/fd6128cd-871f-4a91-96cf-027d790d5184,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1267043,1,1222181,2
THOMAS D. LOGAN,LIBERTARIAN,2008 GENERAL,2008-11-04,Assembly 44,f,f,2017-10-25 02:23:58.190226+00,2017-10-25 02:23:58.326395+00,ocd-person/9cef9703-1e3c-4d96-b21f-bfb8aef121b0,ocd-candidacy/9f683748-5a79-4d29-a1ec-1e8aa012a33d,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/5191f3e9-d94b-4f00-a73e-1c9ce31a7832,ocd-contest/fd6128cd-871f-4a91-96cf-027d790d5184,ocd-organization/0f632422-8617-4738-9d45-1ebf82c111ba,1304618,1,1317233,1
PHILLIP ALEXANDER,REPUBLICAN,2008 GENERAL,2008-11-04,Assembly 45,f,f,2017-10-25 02:23:57.649154+00,2017-10-25 02:23:57.695783+00,ocd-person/328b9b16-1603-47a6-a048-c1ffac3a7a7c,ocd-candidacy/ff4af6c5-d025-498b-8815-1a80f629d23d,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/132ef221-647e-4f58-a2a0-0747a4b8eb87,ocd-contest/308b2d21-012d-462b-9814-5ace926069a1,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,,0,,
KEVIN DE LEON,DEMOCRATIC,2008 GENERAL,2008-11-04,Assembly 45,t,f,2017-10-25 02:13:44.440634+00,2017-10-25 02:13:44.520848+00,ocd-person/a7bcb608-7710-4cc9-844e-c2769852f60e,ocd-candidacy/7ae3401b-e454-4b0f-b9d5-6016ec8f7c8f,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/132ef221-647e-4f58-a2a0-0747a4b8eb87,ocd-contest/308b2d21-012d-462b-9814-5ace926069a1,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1263266,1,1233681,2
JOHN A. PEREZ,DEMOCRATIC,2008 GENERAL,2008-11-04,Assembly 46,,f,2017-10-25 02:13:44.166421+00,2017-10-25 02:13:44.24357+00,ocd-person/5da11996-26f5-4b60-a6ff-95d760badbb4,ocd-candidacy/87cd2201-eca5-4829-a4e9-f44c5ee53d01,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/eb635c1c-6232-452c-871a-74773856c2c3,ocd-contest/c61c8589-58c2-4fe6-8a9f-c059f7e392b1,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1304250,1,1316381,1
MANUEL ALDANA JR.,REPUBLICAN,2008 GENERAL,2008-11-04,Assembly 46,,f,2017-10-25 02:13:43.929717+00,2017-10-25 02:13:44.015689+00,ocd-person/84d0aaf5-ea68-4942-bad1-cfc27754c5f8,ocd-candidacy/2f70684c-2eb4-4ca1-9eab-64a06adc07bb,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/eb635c1c-6232-452c-871a-74773856c2c3,ocd-contest/c61c8589-58c2-4fe6-8a9f-c059f7e392b1,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1239991,1,1321022,3
LADY CAGE,REPUBLICAN,2008 GENERAL,2008-11-04,Assembly 47,f,f,2017-10-25 02:23:57.471213+00,2017-10-25 02:23:57.518501+00,ocd-person/590276fe-54d6-48a6-b2c2-455b86a4988b,ocd-candidacy/6356ff55-03ea-414a-9c15-3cf5a89deadd,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/265eb056-d97d-4289-ab22-165018f003a7,ocd-contest/c0a6410a-958e-44f2-a4e5-18a158478191,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1304254,1,,
KAREN BASS,DEMOCRATIC,2008 GENERAL,2008-11-04,Assembly 47,t,f,2017-10-25 02:13:43.649462+00,2017-10-25 02:13:43.733984+00,ocd-person/a75740de-216d-41f7-8619-54b0e691e5a2,ocd-candidacy/a0c955c3-dfaa-42a2-bc6b-56cfddd9ac52,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/265eb056-d97d-4289-ab22-165018f003a7,ocd-contest/c0a6410a-958e-44f2-a4e5-18a158478191,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1259008,1,1222233,3
LUCILLA M. ESGUERRA,PEACE AND FREEDOM,2008 GENERAL,2008-11-04,Assembly 48,f,f,2017-10-25 02:23:58.802867+00,2017-10-25 02:23:58.922021+00,ocd-person/921a7b11-29ee-46c3-a492-55be5e977e58,ocd-candidacy/7ebd17b3-9d4e-4e66-a4de-1045724c4c6f,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/f71a07ae-5509-4960-af89-db5b769e6d76,ocd-contest/cd6776f0-790b-4447-b757-0a3a6fdf3b5c,ocd-organization/1fc56b44-f71e-43c7-9ce4-eb240d791b5a,1304816,1,1317703,1
MIKE DAVIS,DEMOCRATIC,2008 GENERAL,2008-11-04,Assembly 48,t,f,2017-10-25 02:13:45.270867+00,2017-10-25 02:13:45.352162+00,ocd-person/e19d8413-584b-43cc-9236-11663d85609f,ocd-candidacy/56e8f108-3ee5-4c59-8f70-06c85473a0db,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/f71a07ae-5509-4960-af89-db5b769e6d76,ocd-contest/cd6776f0-790b-4447-b757-0a3a6fdf3b5c,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1277329,1,1251078,3
ESTHELA G. SIEGRIST,REPUBLICAN,2008 GENERAL,2008-11-04,Assembly 49,f,f,2017-10-25 02:23:58.505181+00,2017-10-25 02:23:58.625326+00,ocd-person/0455e364-f430-4ec6-9dde-6a0ed50701bd,ocd-candidacy/4041578a-3b66-4b01-9b98-5d8a90d38f64,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/bfb6de90-c076-48db-8efa-7677829d30db,ocd-contest/65780942-19b1-4a1b-bd51-4588796bbde6,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1284414,1,1317719,2
MICHAEL ENG,DEMOCRATIC,2008 GENERAL,2008-11-04,Assembly 49,t,f,2017-10-25 02:13:44.995575+00,2017-10-25 02:13:45.075731+00,ocd-person/093821ba-4167-4c17-914a-92af20be9457,ocd-candidacy/8f6737ee-a58b-4545-847c-0fffde6ebf4f,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/bfb6de90-c076-48db-8efa-7677829d30db,ocd-contest/65780942-19b1-4a1b-bd51-4588796bbde6,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1275685,1,1222182,2
HECTOR DE LA TORRE,DEMOCRATIC,2008 GENERAL,2008-11-04,Assembly 50,t,f,2017-10-25 02:13:47.153308+00,2017-10-25 02:13:47.235762+00,ocd-person/df320a42-3d9f-45b8-bad4-5e2e3b5e4c13,ocd-candidacy/0a2969c3-3e5f-4514-bb15-b74902229060,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/d5e431c3-08d8-4090-9a16-d04e57b6ef9c,ocd-contest/6532afde-8b55-4434-9c4c-03b4bc015926,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1253966,1,1222597,3
"CARL M. ""MARTY"" SWINNEY",LIBERTARIAN,2008 GENERAL,2008-11-04,Assembly 51,f,f,2017-10-25 02:24:01.147719+00,2017-10-25 02:24:01.197278+00,ocd-person/2a87cd3c-3dba-4141-b77d-6efe5d1f24c4,ocd-candidacy/4fffc63d-047c-4ce8-a58e-6f0ab0ad364c,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/4f6e0b0c-2a62-46c7-81a1-7bf97613b644,ocd-contest/2d46da31-9a75-4a8e-b38f-63b2e0ab0015,ocd-organization/0f632422-8617-4738-9d45-1ebf82c111ba,,0,,
CURREN D. PRICE,DEMOCRATIC,2008 GENERAL,2008-11-04,Assembly 51,t,f,2017-10-25 02:13:47.433149+00,2017-10-25 02:13:47.516572+00,ocd-person/c5d4691b-8373-4d34-9785-784888afb3d9,ocd-candidacy/b5be36a2-17ad-4c52-a7da-a13fa5add7cb,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/4f6e0b0c-2a62-46c7-81a1-7bf97613b644,ocd-contest/2d46da31-9a75-4a8e-b38f-63b2e0ab0015,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1317525,2,1223178,2
MAURICE I POLLACK,REPUBLICAN,2008 GENERAL,2008-11-04,Assembly 51,f,f,2017-10-25 02:24:00.897479+00,2017-10-25 02:24:01.021151+00,ocd-person/d47f193f-0474-4777-a248-1b85ac106ed7,ocd-candidacy/73f2787c-46d2-4ecb-9c07-c5373eea4d1a,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/4f6e0b0c-2a62-46c7-81a1-7bf97613b644,ocd-contest/2d46da31-9a75-4a8e-b38f-63b2e0ab0015,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1304756,1,1317596,1
ISADORE HALL,DEMOCRATIC,2008 GENERAL,2008-11-04,Assembly 52,,f,2017-10-25 02:13:47.712993+00,2017-10-25 02:13:47.792136+00,ocd-person/2c7219f1-29bd-4c66-b66b-6040a1f4d481,ocd-candidacy/3e699652-b21e-4a80-bc4b-625bf2d87c2f,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/67f80a3d-df63-43b6-a415-c8d9f160b0eb,ocd-contest/3c4f690e-dfca-41d5-a4ac-fbbf5a92f563,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1276161,1,1252182,2
GWEN (BATISTE) PATRICK,REPUBLICAN,2008 GENERAL,2008-11-04,Assembly 52,,f,2017-10-25 02:13:47.946117+00,2017-10-25 02:13:48.025309+00,ocd-person/8c35522e-ecde-4bbf-805a-85e13c78ae6d,ocd-candidacy/449849ef-9dbd-4ef5-8c7c-7ae50047ff69,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/67f80a3d-df63-43b6-a415-c8d9f160b0eb,ocd-contest/3c4f690e-dfca-41d5-a4ac-fbbf5a92f563,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1305224,1,1319068,1
TED LIEU,DEMOCRATIC,2008 GENERAL,2008-11-04,Assembly 53,t,f,2017-10-25 02:13:48.227761+00,2017-10-25 02:13:48.317931+00,ocd-person/87f364fe-59f4-4bfd-8df9-6c2be8ed4b57,ocd-candidacy/8d08cdac-6393-4332-ade0-c6cf783a6806,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/83dd5664-cb67-4bde-8f4c-bc25b791a441,ocd-contest/d5c0a778-5ee2-4054-8943-a03ef3f848bc,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1277958,1,1223723,3
THOMAS H. VIDAL,REPUBLICAN,2008 GENERAL,2008-11-04,Assembly 53,f,f,2017-10-25 02:13:48.48553+00,2017-10-25 02:13:48.573329+00,ocd-person/e918c489-0c12-4903-bb93-dc33698c3b2e,ocd-candidacy/2883ff4c-48c8-4376-8c72-e1ec1a514b82,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/83dd5664-cb67-4bde-8f4c-bc25b791a441,ocd-contest/d5c0a778-5ee2-4054-8943-a03ef3f848bc,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1303629,1,1307574,1
JOHN WM. KLING,LIBERTARIAN,2008 GENERAL,2008-11-04,Assembly 54,,f,2017-10-25 02:24:01.378363+00,2017-10-25 02:24:01.497801+00,ocd-person/2c2050d2-2efa-4b3d-83a3-6bb6569e60fe,ocd-candidacy/8bf81bdd-3c21-4d10-a938-6fb85e1d639a,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/a5ca2981-1b4c-4af1-900d-d6a6eb6087a4,ocd-contest/01ce8e08-bb72-4d77-ab0e-14ed5cf993a7,ocd-organization/0f632422-8617-4738-9d45-1ebf82c111ba,1304805,1,1317683,1
GABRIELLA S. HOLT,REPUBLICAN,2008 GENERAL,2008-11-04,Assembly 54,,f,2017-10-25 02:00:42.651177+00,2017-10-25 02:00:42.730967+00,ocd-person/96d3f538-2da4-4aac-b09e-6b7dc292d817,ocd-candidacy/55c1911d-bde4-43c3-8a71-b405db2d57f7,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/a5ca2981-1b4c-4af1-900d-d6a6eb6087a4,ocd-contest/01ce8e08-bb72-4d77-ab0e-14ed5cf993a7,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1301599,1,1292131,1
BONNIE LOWENTHAL,DEMOCRATIC,2008 GENERAL,2008-11-04,Assembly 54,,f,2017-10-25 02:13:48.726479+00,2017-10-25 02:13:48.806737+00,ocd-person/9a5a0d0e-de72-4e8a-8907-152b9adeb502,ocd-candidacy/9c45e520-5302-4530-9385-29a30afa9a3a,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/a5ca2981-1b4c-4af1-900d-d6a6eb6087a4,ocd-contest/01ce8e08-bb72-4d77-ab0e-14ed5cf993a7,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1297235,1,1256402,1
WARREN FURUTANI,DEMOCRATIC,2008 GENERAL,2008-11-04,Assembly 55,t,f,2017-10-25 02:13:49.004765+00,2017-10-25 02:13:49.089016+00,ocd-person/02a91f1b-a45c-42d6-b7db-96c8d7a389cd,ocd-candidacy/a4e95ca9-7478-4677-bf99-aa25952338a0,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/c4ec709a-add1-48f7-8193-3536c329ada9,ocd-contest/50a965eb-b829-4dc4-9ec2-e795cb0aa1b1,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1265441,1,1316968,3
EDWIN R. WILLIAMS,REPUBLICAN,2008 GENERAL,2008-11-04,Assembly 55,f,f,2017-10-25 02:24:01.680975+00,2017-10-25 02:24:01.806884+00,ocd-person/97de9df6-b19c-4b0d-8710-e051da6e178e,ocd-candidacy/ffe94a33-d7eb-457c-b081-a3eb05b6ff88,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/c4ec709a-add1-48f7-8193-3536c329ada9,ocd-contest/50a965eb-b829-4dc4-9ec2-e795cb0aa1b1,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1305141,1,1318590,1
ROGER H. GARRETT,REPUBLICAN,2008 GENERAL,2008-11-04,Assembly 56,f,f,2017-10-25 02:24:01.992352+00,2017-10-25 02:24:02.115356+00,ocd-person/3c2f08f3-6e37-41c6-9432-0a2f7fae959a,ocd-candidacy/b9360674-b7ce-4f77-b6b8-36a18d6dd137,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/9751cfaf-35e2-4537-a22f-00ef1aa6afbc,ocd-contest/132d2411-c7b6-442a-9fb8-d360c31ee624,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1305512,1,1344552,1
TONY MENDOZA,DEMOCRATIC,2008 GENERAL,2008-11-04,Assembly 56,t,f,2017-10-25 02:13:49.287229+00,2017-10-25 02:13:49.369843+00,ocd-person/751827e3-8699-448f-9d3e-3ec227b07ca0,ocd-candidacy/5578cb45-64be-4723-b10d-66b76d4d6f85,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/9751cfaf-35e2-4537-a22f-00ef1aa6afbc,ocd-contest/132d2411-c7b6-442a-9fb8-d360c31ee624,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1238223,1,1223177,3
VICTOR SALDANA,REPUBLICAN,2008 GENERAL,2008-11-04,Assembly 57,f,f,2017-10-25 02:24:02.294499+00,2017-10-25 02:24:02.410932+00,ocd-person/94b2cbec-b09e-40f0-a32b-fbf65d4a279f,ocd-candidacy/668025aa-a572-483b-9ef6-3392dde5a9b6,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/dd17ddda-3dee-4452-945e-f3af9030aa42,ocd-contest/5d10a4b8-5196-4e7d-973a-3bd03ffd4c50,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1305288,1,1319356,1
EDWARD P. HERNANDEZ,DEMOCRATIC,2008 GENERAL,2008-11-04,Assembly 57,t,f,2017-10-25 02:13:49.567835+00,2017-10-25 02:13:49.651355+00,ocd-person/b23a938e-d0f0-4949-96a5-a11cb950ccec,ocd-candidacy/a4d6f3ad-f93a-424e-b072-75a52c8d44e7,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/dd17ddda-3dee-4452-945e-f3af9030aa42,ocd-contest/5d10a4b8-5196-4e7d-973a-3bd03ffd4c50,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1266775,1,1223717,2
CARLOS A. GETINO,REPUBLICAN,2008 GENERAL,2008-11-04,Assembly 58,f,f,2017-10-25 02:24:02.593432+00,2017-10-25 02:24:02.713333+00,ocd-person/3b10f69f-9505-409b-b9fe-506841ae1de4,ocd-candidacy/32679ea4-9061-45a8-a770-d7c74ca8ec32,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/aff24ff4-67ca-4b86-a652-9bdc0e958b17,ocd-contest/4615a9ec-7f57-492b-a2c0-a5a4ed47cf5c,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1304802,1,1317678,1
CHARLES M. CALDERON,DEMOCRATIC,2008 GENERAL,2008-11-04,Assembly 58,t,f,2017-10-25 02:13:49.848056+00,2017-10-25 02:13:49.927285+00,ocd-person/5f8659f6-83aa-4324-9d49-b3104fac6ea2,ocd-candidacy/59250b0f-8151-48cf-8edd-54964f050265,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/aff24ff4-67ca-4b86-a652-9bdc0e958b17,ocd-contest/4615a9ec-7f57-492b-a2c0-a5a4ed47cf5c,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1001590,1,1222564,2
MAUREEN K. KEEDY,LIBERTARIAN,2008 GENERAL,2008-11-04,Assembly 59,f,f,2017-10-25 02:24:02.839163+00,2017-10-25 02:24:02.886205+00,ocd-person/54143b28-a1f1-424d-b7ea-e079c20983c0,ocd-candidacy/d1afc9f0-d9cb-41a0-95be-02f29c060a9f,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/8f18609e-0877-4bf3-bdb8-aa0b1d4dba30,ocd-contest/ff770fdf-3ec3-4cdc-9677-7f3877c10734,ocd-organization/0f632422-8617-4738-9d45-1ebf82c111ba,1260648,1,,
DONALD E. WILLIAMSON,DEMOCRATIC,2008 GENERAL,2008-11-04,Assembly 59,f,f,2017-10-25 02:24:03.070921+00,2017-10-25 02:24:03.194474+00,ocd-person/7a90dfab-3dc2-4f74-9040-02ea3e40ceef,ocd-candidacy/2d591b73-8b6d-4b08-b6f3-d194526d5352,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/8f18609e-0877-4bf3-bdb8-aa0b1d4dba30,ocd-contest/ff770fdf-3ec3-4cdc-9677-7f3877c10734,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1305084,1,1318431,1
ANTHONY ADAMS,REPUBLICAN,2008 GENERAL,2008-11-04,Assembly 59,t,f,2017-10-25 02:13:50.124758+00,2017-10-25 02:13:50.204626+00,ocd-person/e11bce92-5b65-48e2-b94e-b5831758687b,ocd-candidacy/b56b3202-76ee-4011-b386-23e72b37acf3,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/8f18609e-0877-4bf3-bdb8-aa0b1d4dba30,ocd-contest/ff770fdf-3ec3-4cdc-9677-7f3877c10734,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1273674,1,1227342,2
DIANE SINGER,DEMOCRATIC,2008 GENERAL,2008-11-04,Assembly 60,,f,2017-10-25 02:13:54.307284+00,2017-10-25 02:13:54.382955+00,ocd-person/cdb35c32-9432-41ea-9dcf-1384c2018a8a,ocd-candidacy/2a96f2f5-90f3-4886-bb3c-2d139002de23,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/12e51f47-bf3b-48a3-a60b-fa1cab9a3f8d,ocd-contest/4bdc2bd7-0456-4957-b376-de01b3d41d26,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1304515,1,1316959,1
CURT HAGMAN,REPUBLICAN,2008 GENERAL,2008-11-04,Assembly 60,,f,2017-10-25 02:13:54.070005+00,2017-10-25 02:13:54.147193+00,ocd-person/ce791d5e-5ccc-4f20-bda4-a50a8d8561c9,ocd-candidacy/fcce5cae-4b0e-433f-b0f0-0e2aba5f11d2,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/12e51f47-bf3b-48a3-a60b-fa1cab9a3f8d,ocd-contest/4bdc2bd7-0456-4957-b376-de01b3d41d26,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1297723,1,1262911,1
MICHAEL MENDEZ,LIBERTARIAN,2008 GENERAL,2008-11-04,Assembly 61,,f,2017-10-25 02:24:04.895348+00,2017-10-25 02:24:05.016622+00,ocd-person/0512646e-cf51-4203-ab25-7addf7037771,ocd-candidacy/0e8cfaf4-6262-412f-a76e-482c549228a4,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/98a7de06-781c-4536-af6b-fa4b483ad423,ocd-contest/53fd9d82-0350-4bf6-9574-48f0b630ec3c,ocd-organization/0f632422-8617-4738-9d45-1ebf82c111ba,1302757,1,1300807,1
WENDY A. MAIER,REPUBLICAN,2008 GENERAL,2008-11-04,Assembly 61,,f,2017-10-25 02:24:04.59116+00,2017-10-25 02:24:04.715319+00,ocd-person/a9a614d4-a341-420a-a3be-2d3f34f05b83,ocd-candidacy/abdd0f62-7669-46b2-ad8c-d21e136636a9,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/98a7de06-781c-4536-af6b-fa4b483ad423,ocd-contest/53fd9d82-0350-4bf6-9574-48f0b630ec3c,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1305513,1,1355293,2
NORMA TORRES,DEMOCRATIC,2008 GENERAL,2008-11-04,Assembly 61,,f,2017-10-25 02:13:53.794147+00,2017-10-25 02:13:53.875734+00,ocd-person/ee2ee8b5-d918-4569-8a47-662a2c2ae7ae,ocd-candidacy/7b47c830-65b3-46ee-995c-d3946a81ee91,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/98a7de06-781c-4536-af6b-fa4b483ad423,ocd-contest/53fd9d82-0350-4bf6-9574-48f0b630ec3c,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1226719,1,1593994,2
WILMER AMINA CARTER,DEMOCRATIC,2008 GENERAL,2008-11-04,Assembly 62,t,f,2017-10-25 02:13:55.090243+00,2017-10-25 02:13:55.171274+00,ocd-person/9fcd08c2-28d1-4fa1-8546-e046061f1474,ocd-candidacy/c8a6e633-ba18-4051-9f0e-601d51263651,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/7d7ff379-b3e8-4a59-b344-1c7b3e5b537f,ocd-contest/4cde6a1c-44dd-4387-b063-d9e99d60698c,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1281998,1,1317005,2
MARK DAVID WESTWOOD,DEMOCRATIC,2008 GENERAL,2008-11-04,Assembly 63,f,f,2017-10-25 02:13:54.815348+00,2017-10-25 02:13:54.895105+00,ocd-person/6ae6b5da-bca9-4e45-9d16-420d5b60291f,ocd-candidacy/c6fc4b61-7a2f-441a-a9d5-203893351efe,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/e56224d2-0709-42c0-aa82-046d7a4d87fd,ocd-contest/2cf97427-c63c-4dde-9b93-364741367229,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1282138,1,1303957,2
BILL EMMERSON,REPUBLICAN,2008 GENERAL,2008-11-04,Assembly 63,t,f,2017-10-25 02:13:54.577838+00,2017-10-25 02:13:54.661946+00,ocd-person/c0078487-1885-47cd-8ff3-ced7dfcc5065,ocd-candidacy/ac3976a5-0790-4a9c-a472-adf8eff98161,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/e56224d2-0709-42c0-aa82-046d7a4d87fd,ocd-contest/2cf97427-c63c-4dde-9b93-364741367229,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1261353,1,1265808,3
BRIAN NESTANDE,REPUBLICAN,2008 GENERAL,2008-11-04,Assembly 64,,f,2017-10-25 02:13:52.745328+00,2017-10-25 02:13:52.825575+00,ocd-person/57231a68-7332-4d12-85a9-2c4782a33814,ocd-candidacy/5255b1c6-fe18-4045-befc-e7f7264582a0,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/ed67a995-da4a-4773-bf5a-22dd4f217def,ocd-contest/2ea92b12-24a1-42a1-b37f-99abe00bbb10,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1301731,1,1292719,1
CARL W. WOOD,DEMOCRATIC,2008 GENERAL,2008-11-04,Assembly 65,f,f,2017-10-25 02:13:52.470618+00,2017-10-25 02:13:52.54591+00,ocd-person/173b055d-fb4e-4ead-8c1c-580b28ec411b,ocd-candidacy/573a50f5-a221-4582-8ff4-82c679a6e92d,ocd-election/abee92f4-d008-4f63-8b4d-02f022576994,ocd-post/60e00928-3e79-46a3-9e74-28b722900d00,ocd-contest/4fac0947-fabf-4051-be04-0a9bbb0e240f,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1302484,1,1299615,1
