name,party_name,election_name,election_date,office,is_incumbent,special_election,created_at,updated_at,ocd_person_id,ocd_candidacy_id,ocd_election_id,ocd_post_id,ocd_contest_id,ocd_party_id,latest_calaccess_filer_id,calaccess_filer_id_count,latest_form501_filing_id,form501_filing_count
MARC STEINORTH,REPUBLICAN,2016 PRIMARY,2016-06-07,Assembly 40,t,f,2017-10-25 02:07:02.342321+00,2017-10-25 02:07:02.418049+00,ocd-person/27beaa36-d7b0-43ca-b58e-0c03957c12b9,ocd-candidacy/7627f6a2-2775-47d6-9af0-7b042488a204,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/f1bb258d-8987-4b7c-b092-4454cfcbfcef,ocd-contest/7a6a87a9-ee33-442b-a061-05d6f1f125fb,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1362221,1,1919440,2
ABIGAIL M. MEDINA,DEMOCRATIC,2016 PRIMARY,2016-06-07,Assembly 40,f,f,2017-10-25 02:07:02.115849+00,2017-10-25 02:07:02.191967+00,ocd-person/81d48626-183a-4ed5-9e97-0df2d150c404,ocd-candidacy/888a931f-a744-48c6-9687-177506d83d89,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/f1bb258d-8987-4b7c-b092-4454cfcbfcef,ocd-contest/7a6a87a9-ee33-442b-a061-05d6f1f125fb,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1377377,1,1968060,1
CHRISTINA GAGNIER,DEMOCRATIC,2016 PRIMARY,2016-06-07,Assembly 40,f,f,2017-10-25 02:26:12.414312+00,2017-10-25 02:26:12.442885+00,ocd-person/e2013422-3ead-4760-bd0c-8b6145e2bed7,ocd-candidacy/1a720e46-3c26-44e1-8679-b19a57935252,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/f1bb258d-8987-4b7c-b092-4454cfcbfcef,ocd-contest/7a6a87a9-ee33-442b-a061-05d6f1f125fb,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1376726,1,1959016,1
CHRIS HOLDEN,DEMOCRATIC,2016 PRIMARY,2016-06-07,Assembly 41,t,f,2017-10-25 02:07:01.835836+00,2017-10-25 02:07:01.919421+00,ocd-person/0edeb69c-5877-401e-b94c-8111ea4f858c,ocd-candidacy/181b68d5-5391-4a62-8a0d-11a93c2038fe,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/87a4f5fb-da14-42ba-9de3-6d62549f9da7,ocd-contest/8d470a6f-47f0-432a-8df2-f1e73484ae21,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1336467,1,1924513,3
ALAN S. REYNOLDS,DEMOCRATIC,2016 PRIMARY,2016-06-07,Assembly 41,f,f,2017-10-25 02:17:59.100958+00,2017-10-25 02:17:59.212859+00,ocd-person/1696bca3-f2be-4f62-acd2-033dde6f56e5,ocd-candidacy/f14c9016-ec09-4020-a505-615009c81e27,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/87a4f5fb-da14-42ba-9de3-6d62549f9da7,ocd-contest/8d470a6f-47f0-432a-8df2-f1e73484ae21,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1362093,1,2000474,1
CASEY C. HIGGINS,REPUBLICAN,2016 PRIMARY,2016-06-07,Assembly 41,f,f,2017-10-25 02:07:01.614494+00,2017-10-25 02:07:01.682874+00,ocd-person/2ef6369e-f7ff-45d8-88a2-260c3e3f6aed,ocd-candidacy/ff5a6427-348a-4516-a52b-b3219030685c,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/87a4f5fb-da14-42ba-9de3-6d62549f9da7,ocd-contest/8d470a6f-47f0-432a-8df2-f1e73484ae21,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1383283,1,2017876,1
DAN M. TAYLOR,REPUBLICAN,2016 PRIMARY,2016-06-07,Assembly 41,f,f,2017-10-25 02:17:59.394916+00,2017-10-25 02:17:59.51082+00,ocd-person/ce380fbf-a1cb-4f4f-9236-4b4daa6f7c09,ocd-candidacy/ce9903b3-1d52-4821-a8fc-436002b4e36a,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/87a4f5fb-da14-42ba-9de3-6d62549f9da7,ocd-contest/8d470a6f-47f0-432a-8df2-f1e73484ae21,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1383608,1,2019027,1
GREG RODRIGUEZ,DEMOCRATIC,2016 PRIMARY,2016-06-07,Assembly 42,f,f,2017-10-25 02:07:01.337733+00,2017-10-25 02:07:01.425308+00,ocd-person/9a8f10ac-f7f1-41cd-b5d5-cd4c3d5239ee,ocd-candidacy/d6a9eefb-9781-4fcb-b6bd-b3acbbd1ad2e,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/06c0798e-0789-438c-ab2e-6cfac3b5f1e7,ocd-contest/aa7bb956-8503-4d9b-a446-b23242543b5b,ocd-organization/169e9416-915b-4462-94cf-82e116e78f1b,1375844,1,1952816,1
JEFFREY HEWITT,LIBERTARIAN,2016 PRIMARY,2016-06-07,Assembly 42,f,f,2017-10-25 02:07:00.875105+00,2017-10-25 02:07:00.95049+00,ocd-person/d39121c0-7c33-4970-a640-d5b33816da6c,ocd-candidacy/55587ba8-397c-4477-8d80-1618d20e85fc,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/06c0798e-0789-438c-ab2e-6cfac3b5f1e7,ocd-contest/aa7bb956-8503-4d9b-a446-b23242543b5b,ocd-organization/0f632422-8617-4738-9d45-1ebf82c111ba,1362900,1,1973088,1
CHAD MAYES,REPUBLICAN,2016 PRIMARY,2016-06-07,Assembly 42,t,f,2017-10-25 02:07:01.099284+00,2017-10-25 02:07:01.173125+00,ocd-person/e2aaa2cf-1935-47b4-a3a0-ec863315f131,ocd-candidacy/63ee1eb1-383c-403b-835a-f3e2ae3ba209,ocd-election/09b673bf-28ee-465d-888d-0d9c291e6b7c,ocd-post/06c0798e-0789-438c-ab2e-6cfac3b5f1e7,ocd-contest/aa7bb956-8503-4d9b-a446-b23242543b5b,ocd-organization/731c91f2-7707-4ac5-9943-4fefa4612452,1351765,1,1918850,2
